Date,NVDA,MSFT,AAPL,GOOGL,META,TSLA,AVGO,ORCL,WMT,COST,PG,KO,JPM,V,MA,BRK-B,LLY,JNJ,UNH,ABBV
2021-07-16,18.12047576904297,270.6347351074219,142.95904541015625,126.10028076171875,339.0697021484375,214.74000549316406,42.851097106933594,82.57611083984375,44.53520965576172,389.8819580078125,125.5330810546875,49.29617691040039,135.9498291015625,240.00352478027344,377.6810607910156,277.8999938964844,222.499755859375,147.6666717529297,392.2693176269531,100.11229705810547
2021-07-19,18.737842559814453,267.0295104980469,139.1113739013672,123.72466278076172,334.8855285644531,215.4066619873047,42.63138198852539,82.09476470947266,44.431400299072266,393.47332763671875,125.47054290771484,48.71056365966797,131.52879333496094,232.5457305908203,356.5395202636719,272.6600036621094,224.10777282714844,146.59498596191406,382.3247375488281,98.34010314941406
2021-07-20,18.57046890258789,269.2562561035156,142.72467041015625,125.3449935913086,339.56671142578125,220.1666717529297,42.89870071411133,83.68041229248047,44.63274383544922,395.4588317871094,124.80052185058594,48.7979736328125,133.98094177246094,234.76077270507812,365.2615051269531,276.8900146484375,224.95008850097656,147.97410583496094,385.9791259765625,98.87687683105469
2021-07-21,19.36668586730957,271.2613220214844,141.9922637939453,126.6753158569336,344.1086730957031,218.42999267578125,43.853546142578125,84.65254974365234,44.41252136230469,394.2904052734375,124.36270904541016,49.427276611328125,136.8000030517578,235.68939208984375,370.7932434082031,279.8800048828125,227.1228485107422,148.8877410888672,387.54010009765625,99.67776489257812
2021-07-22,19.550277709960938,275.83050537109375,143.35943603515625,127.54182434082031,349.0382995605469,216.4199981689453,43.60728073120117,85.59638977050781,44.44397735595703,396.6939697265625,123.88626861572266,49.357357025146484,135.07276916503906,236.15370178222656,372.8420715332031,277.70001220703125,228.2714385986328,149.31814575195312,388.59613037109375,100.14636993408203
2021-07-23,19.514354705810547,279.2333679199219,145.0781707763672,132.10386657714844,367.52435302734375,214.4600067138672,44.23163604736328,82.7648696899414,44.80891799926758,402.2898864746094,125.67530822753906,49.8293342590332,134.81326293945312,240.8740692138672,383.67144775390625,278.489990234375,233.68887329101562,150.90814208984375,390.40008544921875,100.7001953125
2021-07-26,19.250946044921875,278.63568115234375,145.49813842773438,133.11688232421875,370.17791748046875,219.2066650390625,44.14834213256836,82.9253158569336,44.8718376159668,402.09991455078125,126.11587524414062,49.87303924560547,135.7171173095703,242.06382751464844,383.2226257324219,278.79998779296875,232.7891845703125,150.9783935546875,386.51202392578125,100.35938262939453
2021-07-27,19.165138244628906,276.21612548828125,143.33013916015625,130.9965057373047,365.5564270019531,214.92666625976562,43.51847839355469,82.86870574951172,44.87498474121094,403.15447998046875,126.6282730102539,50.0478515625,135.53814697265625,242.72157287597656,380.7543029785156,280.7799987792969,233.14334106445312,151.67239379882812,387.9700012207031,100.50421905517578
2021-07-28,19.459482192993164,275.9076843261719,141.5821075439453,135.16177368164062,370.992919921875,215.66000366210938,43.72812271118164,82.28352355957031,44.6925163269043,401.140380859375,124.74929809570312,49.59335708618164,135.76185607910156,238.86209106445312,374.0908508300781,278.1000061035156,235.94773864746094,151.250732421875,382.42755126953125,101.00690460205078
2021-07-29,19.618122100830078,276.1775207519531,142.22662353515625,134.8474578857422,356.1246032714844,225.78334045410156,44.31953048706055,82.7082290649414,44.749141693115234,404.80499267578125,125.39663696289062,49.86430740356445,136.92529296875,239.81002807617188,379.32989501953125,279.760009765625,234.8183135986328,151.250732421875,385.1473388671875,101.27955627441406
2021-07-30,19.455488204956055,274.64483642578125,142.44146728515625,133.80364990234375,354.116943359375,229.06666564941406,44.4376220703125,82.2457504272461,44.8466682434082,409.0312194824219,127.86894226074219,49.84682083129883,135.83346557617188,238.33010864257812,376.52996826171875,278.2900085449219,233.0667724609375,151.26832580566406,385.27825927734375,99.08985900878906
2021-08-02,19.7059326171875,274.55810546875,142.10943603515625,133.93077087402344,349.7936706542969,236.55667114257812,44.371707916259766,82.67992401123047,44.74284362792969,408.26971435546875,127.55431365966797,49.715721130371094,135.28753662109375,231.93629455566406,366.11029052734375,278.1400146484375,236.03390502929688,151.32981872558594,388.4093017578125,98.36564636230469
2021-08-03,19.770788192749023,276.77520751953125,143.9063262939453,134.70095825195312,349.08795166015625,236.5800018310547,44.564876556396484,84.6997299194336,45.2462158203125,414.1236572265625,129.41526794433594,49.75067138671875,136.82684326171875,229.33433532714844,358.6370849609375,281.79998779296875,245.02162170410156,153.19212341308594,394.32550048828125,99.04724884033203
